Recency,Frequency,Monetary,Segment,R_Score,F_Score,M_Score,RFM_Score,Churn,CustomerID,Priority_Score,Priority_Level
49,5,1708.1200000000001,Loyal,3,4,4,344,0,1048,845.7600000000001,High
32,5,2888.55,Loyal,4,4,5,445,0,1049,1439.375,High
78,3,11072.67,Regular,2,3,5,235,0,1050,5521.634999999999,High
308,2,693.3299999999999,Churn Likely,1,2,3,123,1,1051,285.66499999999996,High
74,3,1226.88,Regular,2,3,4,234,0,1052,599.5400000000001,High
66,3,758.1,Regular,3,3,3,333,0,1053,366.75,High
216,3,562.41,Churn Likely,1,3,3,133,1,1054,238.90499999999997,High
23,21,124914.53,VIP,4,5,5,455,0,1055,62458.965000000004,High
2,9,3649.1,VIP,5,5,5,555,0,1056,1826.85,High
112,1,668.58,Regular,2,1,3,213,0,1057,312.19000000000005,High
63,1,600.39,Regular,3,1,3,313,0,1058,287.895,High
15,4,807.04,Loyal,4,4,3,443,0,1059,401.71999999999997,High
95,3,803.5600000000001,Regular,2,3,3,233,0,1060,383.68,High
0,8,1859.31,VIP,5,5,4,554,0,1061,932.055,High
162,2,1760.96,At Risk,2,2,4,224,0,1062,848.6800000000001,High
77,1,777.2,Regular,2,1,3,213,0,1063,373.50000000000006,High
194,1,582.73,Churn Likely,1,1,3,113,1,1064,252.865,High
21,3,825.8,Loyal,4,3,3,433,0,1065,409.59999999999997,High
25,9,7956.46,VIP,4,5,5,455,0,1066,3975.93,High
8,4,3750.4,Loyal,5,4,5,545,0,1067,1874.8000000000002,High
42,1,256.4,Regular,3,1,2,312,0,1068,120.1,High
35,15,6419.95,Loyal,3,5,5,355,0,1069,3207.475,High
42,5,5059.32,Loyal,3,4,5,345,0,1070,2522.7599999999998,High
0,7,13375.87,VIP,5,5,5,555,0,1071,6690.035000000001,High
84,2,806.14,Regular,2,2,3,223,0,1072,386.87,High
79,2,7829.89,Regular,2,2,5,225,0,1073,3899.745,High
99,1,509.01,Regular,2,1,3,213,0,1074,235.005,High
1,18,4951.41,VIP,5,5,5,555,0,1075,2480.905,High
13,2,2906.85,Regular,4,2,5,425,0,1076,1451.425,High
366,1,173.55,Lost,1,1,1,111,1,1077,13.875,Low
2,1,172.06,Regular,5,1,1,511,0,1078,85.92999999999999,High
20,5,5005.46,VIP,4,4,5,445,0,1079,2500.23,High
21,1,133.4,Regular,4,1,1,411,0,1080,62.8,Medium
57,1,1002.3100000000001,Regular,3,1,4,314,0,1081,490.05500000000006,High
242,1,476.49,Churn Likely,1,1,2,112,1,1082,190.145,High
43,1,449.45,Regular,3,1,2,312,0,1083,216.425,High
21,4,4067.29,Loyal,4,4,5,445,0,1084,2030.645,High
155,2,197.88,At Risk,2,2,1,221,0,1085,68.53999999999999,Medium
10,5,9035.52,VIP,5,4,5,545,0,1086,4517.26,High
16,2,430.57,Regular,4,2,2,422,0,1087,212.685,High
133,1,707.09,At Risk,2,1,3,213,0,1088,327.245,High
55,1,3528.34,Regular,3,1,5,315,0,1089,1753.47,High
72,6,2466.86,Regular,2,4,5,245,0,1090,1220.83,High
43,3,3181.04,Loyal,3,3,5,335,0,1091,1582.8200000000002,High
65,7,2363.23,Regular,3,5,5,355,0,1092,1170.715,High
70,2,947.4,Regular,3,2,4,324,0,1093,460.3,High
93,2,826.88,Regular,2,2,3,223,0,1094,395.44,High
18,2,1189.59,Regular,4,2,4,424,0,1095,591.795,High
52,4,1344.78,Loyal,3,4,4,344,0,1096,663.19,High
9,8,1212.05,VIP,5,5,4,554,0,1097,606.625,High
16,2,742.1899999999999,Regular,4,2,3,423,0,1098,368.495,High
187,2,729.5400000000001,Churn Likely,1,2,3,123,1,1099,327.9700000000001,High
1,30,19788.65,VIP,5,5,5,555,0,1100,9903.125,High
31,7,6572.11,Loyal,4,5,5,455,0,1101,3281.955,High
28,5,3928.0499999999997,VIP,4,4,5,445,0,1102,1959.925,High
16,18,7324.09,VIP,4,5,5,455,0,1103,3664.2450000000003,High
53,1,723.38,Regular,3,1,3,313,0,1104,351.39,High
15,11,6816.42,VIP,4,5,5,455,0,1105,3408.51,High
22,6,13219.74,VIP,4,4,5,445,0,1106,6607.27,High
3,1,680.99,Regular,5,1,3,513,0,1107,340.195,High
10,1,527.2,Regular,5,1,3,513,0,1108,261.90000000000003,High
27,4,3281.63,Loyal,4,4,5,445,0,1109,1636.615,High
22,10,5579.82,VIP,4,5,5,455,0,1110,2788.5099999999998,High
16,8,2484.98,VIP,4,5,5,455,0,1111,1241.69,High
32,6,4527.32,Loyal,4,4,5,445,0,1112,2259.06,High
9,3,1298.66,Loyal,5,3,4,534,0,1113,648.4300000000001,High
335,1,334.93,Churn Likely,1,1,2,112,1,1114,100.76500000000001,High
4,10,5417.93,VIP,5,5,5,555,0,1115,2711.165,High
38,1,460.40000000000003,Regular,3,1,2,312,0,1116,222.90000000000003,High
62,2,263.21000000000004,Regular,3,2,2,322,0,1117,119.805,High
165,2,433.74,At Risk,2,2,2,222,0,1118,184.47,High
15,7,1246.1000000000001,VIP,4,5,4,454,0,1119,622.1500000000001,High
81,1,1043.1,Regular,2,1,4,214,0,1120,505.6499999999999,High
20,3,403.70000000000005,Loyal,4,3,2,432,0,1121,198.75000000000003,High
22,11,4257.82,VIP,4,5,5,455,0,1122,2127.81,High
336,1,2169.39,Churn Likely,1,1,5,115,1,1123,1017.7949999999998,High
95,5,3723.87,Regular,2,4,5,245,0,1124,1844.435,High
17,2,482.04999999999995,Regular,4,2,2,422,0,1125,238.22499999999997,High
232,1,73.5,Churn Likely,1,1,1,111,1,1126,-9.350000000000009,Low
133,3,1304.81,At Risk,2,3,4,234,0,1127,626.7049999999999,High
25,2,397.88,Regular,4,2,2,422,0,1128,194.54,High
283,1,176.5,Churn Likely,1,1,1,111,1,1129,31.949999999999996,Low
142,2,982.5699999999999,At Risk,2,2,4,224,0,1130,463.485,High
65,2,132.18,Regular,3,2,1,321,0,1131,53.69,Medium
112,1,612.29,Regular,2,1,3,213,0,1132,284.045,High
266,1,1017.68,Churn Likely,1,1,4,114,1,1133,455.94,High
352,1,383.7,Churn Likely,1,1,2,112,1,1134,121.75,High
77,2,1312.06,Regular,2,2,4,224,0,1135,641.23,High
27,5,2481.6,VIP,4,4,5,445,0,1136,1236.8999999999999,High
0,5,2056.89,VIP,5,4,5,545,0,1137,1029.945,High
63,1,330.84,Regular,3,1,2,312,0,1138,153.12,High
78,5,2634.26,Regular,2,4,5,245,0,1139,1303.0300000000002,High
142,1,599.68,At Risk,2,1,3,213,0,1140,271.74,High
38,2,192.72,Regular,3,2,1,321,0,1141,89.36,High
18,11,1789.77,VIP,4,5,4,454,0,1142,894.5849999999999,High
8,8,4485.72,VIP,5,5,5,555,0,1143,2243.6600000000003,High
0,3,1316.66,Loyal,5,3,4,534,0,1144,659.23,High
81,3,348.71000000000004,Regular,2,3,2,232,0,1145,159.05500000000004,High
8,6,1933.48,VIP,5,5,4,554,0,1146,966.9399999999999,High
59,4,1662.28,Loyal,3,4,4,344,0,1147,820.5400000000001,High
14,1,125.22,Regular,4,1,1,411,0,1148,60.11,Medium
29,1,349.83000000000004,Regular,4,1,2,412,0,1149,169.41500000000002,High
130,1,1089.18,At Risk,2,1,4,214,0,1150,518.89,High
91,2,716.35,Regular,2,2,3,223,0,1151,340.57500000000005,High
42,3,12601.830000000002,Loyal,3,3,5,335,0,1152,6293.415000000001,High
28,1,363.95,Regular,4,1,2,412,0,1153,176.675,High
21,4,5568.35,Loyal,4,4,5,445,0,1154,2781.175,High
19,17,13400.24,VIP,4,5,5,455,0,1155,6701.42,High
29,3,981.18,Loyal,4,3,4,434,0,1156,485.68999999999994,High
35,1,372.7,Regular,3,1,2,312,0,1157,179.65,High
74,2,1000.39,Regular,2,2,4,224,0,1158,485.995,High
46,2,1161.5,Regular,3,2,4,324,0,1159,572.15,High
197,2,207.79999999999998,Churn Likely,1,2,1,121,1,1160,65.09999999999998,Medium
165,1,95.19999999999999,At Risk,2,1,1,211,0,1161,14.899999999999991,Low
78,1,964.83,Regular,2,1,4,214,0,1162,467.115,High
357,1,168.0,Churn Likely,1,1,1,111,1,1163,12.899999999999991,Low
38,2,437.82,Regular,3,2,2,322,0,1164,211.91,High
7,10,3692.28,VIP,5,5,5,555,0,1165,1847.74,High
49,2,599.56,Regular,3,2,3,323,0,1166,290.58,High
15,5,11990.960000000001,VIP,4,4,5,445,0,1167,5993.9800000000005,High
7,1,269.96,Regular,5,1,2,512,0,1168,133.88,High
310,2,561.71,Churn Likely,1,2,3,123,1,1169,219.45500000000004,High
4,3,2134.01,Loyal,5,3,5,535,0,1170,1067.1050000000002,High
302,1,238.85,Churn Likely,1,1,1,111,1,1171,59.32499999999999,Medium
7,7,3781.7400000000002,VIP,5,5,5,555,0,1172,1891.57,High
260,1,456.9,Churn Likely,1,1,2,112,1,1173,176.75,High
288,1,145.92,Churn Likely,1,1,1,111,1,1174,15.65999999999999,Low
85,1,351.65,Regular,2,1,2,212,0,1175,159.125,High
22,10,9401.28,VIP,4,5,5,455,0,1176,4699.240000000001,High
1,32,4124.69,VIP,5,5,5,555,0,1177,2071.745,High
39,2,519.61,Regular,3,2,3,323,0,1178,252.60500000000002,High
8,2,1020.42,Regular,5,2,4,524,0,1179,509.21,High
226,1,160.54000000000002,Churn Likely,1,1,1,111,1,1180,35.370000000000005,Low
315,1,218.45,Churn Likely,1,1,1,111,1,1181,46.52499999999999,Medium
35,5,1315.83,Loyal,3,4,4,344,0,1182,652.415,High
34,3,626.6,Loyal,3,3,3,333,0,1183,307.4,High
20,2,2794.51,Regular,4,2,5,425,0,1184,1393.855,High
77,1,440.42,Regular,2,1,2,212,0,1185,205.11,High
246,1,415.7,Churn Likely,1,1,2,112,1,1186,158.95,High
39,1,197.71,Regular,3,1,1,311,0,1187,91.355,High
238,2,511.36,Churn Likely,1,2,3,123,1,1188,208.68000000000004,High
2,15,7281.38,VIP,5,5,5,555,0,1189,3644.79,High
3,9,2338.15,VIP,5,5,5,555,0,1190,1171.1750000000002,High
233,2,2040.1,Churn Likely,1,2,4,124,1,1191,974.05,High
16,1,196.94000000000003,Regular,4,1,1,411,0,1192,95.57000000000001,High
7,1,144.0,Regular,5,1,1,511,0,1193,70.89999999999999,High
38,1,214.89999999999998,Regular,3,1,1,311,0,1194,100.14999999999999,High
28,2,646.68,Regular,4,2,3,423,0,1195,318.34,High
210,2,9864.26,Churn Likely,1,2,5,125,1,1196,4890.7300000000005,High
316,1,452.84999999999997,Churn Likely,1,1,2,112,1,1197,163.52499999999998,High
91,2,437.6,Regular,2,2,2,222,0,1198,201.20000000000002,High
108,3,418.09999999999997,Regular,2,3,2,232,0,1199,188.35,High
37,10,3338.2200000000003,Loyal,3,5,5,355,0,1200,1664.71,High
50,2,618.27,Regular,3,2,3,323,0,1201,299.735,High
18,4,3811.22,Loyal,4,4,5,445,0,1202,1903.21,High
9,8,3023.08,VIP,5,5,5,555,0,1203,1512.14,High
28,7,1032.58,VIP,4,5,4,454,0,1204,512.79,High
28,10,2599.04,VIP,4,5,5,455,0,1205,1296.92,High
189,5,577.0600000000001,Churn Likely,1,4,3,143,1,1206,252.23000000000002,High
58,1,153.12,Regular,3,1,1,311,0,1207,65.25999999999999,Medium
21,1,739.1999999999999,Regular,4,1,3,413,0,1208,365.7,High
78,2,254.18,Regular,2,2,2,222,0,1209,112.09,High
59,1,1579.51,Regular,3,1,4,314,0,1210,778.255,High
77,3,1126.85,Regular,2,3,4,234,0,1211,548.925,High
22,5,2099.54,VIP,4,4,5,445,0,1212,1046.87,High
51,1,1193.32,Regular,3,1,4,314,0,1213,586.7599999999999,High
73,1,704.0400000000001,Regular,2,1,3,213,0,1214,337.72,High
56,5,3344.38,Loyal,3,4,5,345,0,1215,1662.49,High
277,1,315.6,Churn Likely,1,1,2,112,1,1216,102.70000000000002,High
1,4,2291.19,Loyal,5,4,5,545,0,1217,1146.595,High
94,2,713.3,Regular,2,2,3,223,0,1218,338.45,High
28,1,352.98,Regular,4,1,2,412,0,1219,171.19000000000003,High
21,1,177.31,Regular,4,1,1,411,0,1220,84.755,High
15,9,3641.24,VIP,4,5,5,455,0,1221,1820.32,High
14,3,1339.41,Loyal,4,3,4,434,0,1222,667.8050000000001,High
1,20,13689.67,VIP,5,5,5,555,0,1223,6850.635,High
231,1,180.1,Churn Likely,1,1,1,111,1,1224,44.14999999999999,Medium
275,1,305.1,Churn Likely,1,1,2,112,1,1225,97.85000000000002,High
105,2,641.13,Regular,2,2,3,223,0,1226,300.165,High
211,2,2683.82,Churn Likely,1,2,5,125,1,1227,1300.31,High
22,9,6620.48,VIP,4,5,5,455,0,1228,3308.5399999999995,High
10,7,4478.53,VIP,5,5,5,555,0,1229,2239.365,High
3,3,786.46,Loyal,5,3,3,533,0,1230,393.53,High
9,2,1270.88,Regular,5,2,4,524,0,1231,634.2400000000001,High
56,1,640.5,Regular,3,1,3,313,0,1232,309.35,High
58,4,2163.98,Loyal,3,4,5,345,0,1233,1071.5900000000001,High
89,2,1689.18,Regular,2,2,4,224,0,1234,827.3900000000001,High
66,8,6002.9,Regular,3,5,5,355,0,1235,2990.65,High
32,1,671.69,Regular,4,1,3,413,0,1236,329.74500000000006,High
238,1,486.1,Churn Likely,1,1,2,112,1,1237,195.75000000000003,High
23,3,1174.58,Loyal,4,3,4,434,0,1238,583.5899999999999,High
114,1,185.9,Regular,2,1,1,211,0,1239,70.45,High
24,3,1013.26,Loyal,4,3,4,434,0,1240,502.72999999999996,High
127,6,3344.64,At Risk,2,5,5,255,0,1241,1648.7199999999998,High
129,1,477.91,At Risk,2,1,2,212,0,1242,213.455,High
33,4,1775.18,Loyal,3,4,4,344,0,1243,882.19,High
4,2,1346.97,Regular,5,2,4,524,0,1244,673.2850000000001,High
21,12,3722.82,VIP,4,5,5,455,0,1245,1860.81,High
154,1,318.05,At Risk,2,1,2,212,0,1246,128.525,High
106,3,623.51,Regular,2,3,3,233,0,1247,291.455,High
2,1,314.44,Regular,5,1,2,512,0,1248,157.12,High
334,1,114.0,Churn Likely,1,1,1,111,1,1249,-9.5,Low
330,1,919.98,Churn Likely,1,1,3,113,1,1250,394.29,High
148,2,2209.85,At Risk,2,2,5,225,0,1251,1075.925,High
10,5,601.98,VIP,5,4,3,543,0,1252,300.49,High
16,5,4051.17,VIP,4,4,5,445,0,1253,2023.885,High
10,4,1643.18,Loyal,5,4,4,544,0,1254,820.7900000000001,High
18,1,686.05,Regular,4,1,3,413,0,1255,339.72499999999997,High
29,1,91.68,Regular,4,1,1,411,0,1256,40.34,Medium
10,1,245.1,Regular,5,1,1,511,0,1257,120.85,High
0,11,3849.78,VIP,5,5,5,555,0,1258,1928.19,High
7,9,4881.88,VIP,5,5,5,555,0,1259,2442.24,High
324,1,63.0,Churn Likely,1,1,1,111,1,1260,-33.0,Low
57,1,620.13,Regular,3,1,3,313,0,1261,298.96500000000003,High
11,4,3807.15,Loyal,5,4,5,545,0,1262,1902.575,High
150,3,2744.0299999999997,At Risk,2,3,5,235,0,1263,1342.915,High
9,5,2996.05,VIP,5,4,5,545,0,1264,1497.7250000000001,High
329,1,225.89999999999998,Churn Likely,1,1,1,111,1,1265,47.44999999999999,Medium
4,2,610.52,Regular,5,2,3,523,0,1266,305.06,High
38,4,1970.6,Loyal,3,4,4,344,0,1267,978.9,High
24,6,1331.39,VIP,4,5,4,454,0,1268,662.695,High
41,12,17628.46,Loyal,3,5,5,355,0,1269,8809.63,High
58,4,1113.02,Loyal,3,4,4,344,0,1270,546.11,High
0,4,862.81,Loyal,5,4,3,543,0,1271,432.60499999999996,High
14,22,13787.54,VIP,4,5,5,455,0,1272,6897.570000000001,High
3,31,12279.82,VIP,5,5,5,555,0,1273,6148.61,High
3,15,8476.57,VIP,5,5,5,555,0,1274,4242.1849999999995,High
7,7,2283.63,VIP,5,5,5,555,0,1275,1142.5149999999999,High
27,6,2863.08,VIP,4,5,5,455,0,1276,1427.9399999999998,High
371,1,89.14,Lost,1,1,1,111,1,1277,-29.330000000000005,Low
113,1,4873.8099999999995,Regular,2,1,5,215,0,1278,2414.605,High
25,2,1247.61,Regular,4,2,4,424,0,1279,619.405,High
205,1,389.01,Churn Likely,1,1,2,112,1,1280,153.805,High
27,6,1035.8,VIP,4,5,4,454,0,1281,514.3,High
126,4,855.91,At Risk,2,4,3,243,0,1282,403.955,High
69,2,869.67,Regular,3,2,3,323,0,1283,421.635,High
6,4,582.1,Loyal,5,4,3,543,0,1284,291.05,High
28,3,957.59,Loyal,4,3,4,434,0,1285,474.09499999999997,High
7,4,4939.99,Loyal,5,4,5,545,0,1286,2469.7949999999996,High
79,2,797.71,Regular,2,2,3,223,0,1287,383.65500000000003,High
19,1,219.0,Regular,4,1,1,411,0,1288,106.0,High
70,1,283.55,Regular,3,1,2,312,0,1289,128.07500000000002,High
6,8,2340.84,VIP,5,5,5,555,0,1290,1171.6200000000001,High
14,9,6868.29,VIP,4,5,5,455,0,1291,3434.0449999999996,High
291,1,603.42,Churn Likely,1,1,3,113,1,1292,243.81,High
29,10,2712.91,VIP,4,5,5,455,0,1293,1353.655,High
14,15,9706.52,VIP,4,5,5,455,0,1294,4854.96,High
96,3,1149.02,Regular,2,3,4,234,0,1295,556.2099999999999,High
28,13,4396.13,VIP,4,5,5,455,0,1296,2196.3650000000002,High
0,1,848.55,Regular,5,1,3,513,0,1297,424.575,High
8,5,4708.86,VIP,5,4,5,545,0,1298,2354.33,High
105,1,343.36,Regular,2,1,2,212,0,1299,150.98000000000002,High
3,2,1053.49,Regular,5,2,4,524,0,1300,526.745,High
150,2,1030.98,At Risk,2,2,4,224,0,1301,486.09000000000003,High
70,1,238.25,Regular,3,1,1,311,0,1302,105.425,High
4,2,644.95,Regular,5,2,3,523,0,1303,322.27500000000003,High
2,25,5781.73,VIP,5,5,5,555,0,1304,2897.9649999999997,High
31,6,2656.13,Loyal,4,5,5,455,0,1305,1323.665,High
84,4,997.63,Regular,2,4,4,244,0,1306,483.215,High
3,5,725.07,VIP,5,4,3,543,0,1307,363.435,High
4,4,1031.41,Loyal,5,4,4,544,0,1308,516.1050000000001,High
370,1,427.8,Lost,1,1,2,112,1,1309,140.20000000000002,High
27,7,2609.1,VIP,4,5,5,455,0,1310,1301.2499999999998,High
10,7,3980.7,VIP,5,5,5,555,0,1311,1990.4499999999998,High
70,4,836.33,Regular,3,4,3,343,0,1312,405.365,High
113,1,453.01,Regular,2,1,2,212,0,1313,204.205,High
23,12,18895.91,VIP,4,5,5,455,0,1314,9446.955,High
179,1,236.26000000000002,At Risk,1,1,1,111,0,1315,82.63,High
233,1,383.95,Churn Likely,1,1,2,112,1,1316,145.675,High
352,1,110.39999999999999,Churn Likely,1,1,1,111,1,1317,-14.900000000000013,Low
314,2,779.5699999999999,Churn Likely,1,2,3,123,1,1318,327.585,High
332,1,234.0,Churn Likely,1,1,1,111,1,1319,50.89999999999999,Medium
371,1,155.35,Lost,1,1,1,111,1,1320,3.7749999999999915,Low
77,2,1013.04,Regular,2,2,4,224,0,1321,491.72,High
63,1,427.6,Regular,3,1,2,312,0,1322,201.50000000000003,High
133,2,540.13,At Risk,2,2,3,223,0,1323,244.06500000000003,High
51,7,21279.29,Loyal,3,5,5,355,0,1324,10631.545,High
1,11,4196.01,VIP,5,5,5,555,0,1325,2101.1050000000005,High
0,209,33053.19,VIP,5,5,5,555,0,1326,16589.295000000002,High
3,5,4090.88,VIP,5,4,5,545,0,1327,2046.3400000000001,High
128,1,275.88,At Risk,2,1,2,212,0,1328,112.64000000000001,High
80,1,4366.78,Regular,2,1,5,215,0,1329,2167.69,High
22,6,21429.39,VIP,4,5,5,455,0,1330,10712.095,High
235,3,3010.74,Churn Likely,1,3,5,135,1,1331,1459.27,High
280,2,3811.95,Churn Likely,1,2,5,125,1,1332,1850.5749999999998,High
86,1,112.07999999999998,Regular,2,1,1,211,0,1333,39.139999999999986,Low
15,13,7834.650000000001,VIP,4,5,5,455,0,1334,3918.2250000000004,High
116,2,2791.59,Regular,2,2,5,225,0,1335,1373.195,High
51,3,1531.44,Loyal,3,3,4,334,0,1336,756.42,High
7,2,1898.52,Regular,5,2,4,524,0,1337,948.46,High
137,2,494.08,At Risk,2,2,3,223,0,1338,220.23999999999998,High
316,1,1693.88,Churn Likely,1,1,4,114,1,1339,784.04,High
3,7,6989.63,VIP,5,5,5,555,0,1340,3496.315,High
238,1,1143.6,Churn Likely,1,1,4,114,1,1341,524.4999999999999,High
210,1,1351.45,Churn Likely,1,1,4,114,1,1342,634.025,High
59,1,892.47,Regular,3,1,3,313,0,1343,434.735,High
16,5,1386.04,VIP,4,4,4,444,0,1344,691.3199999999999,High
19,6,822.23,VIP,4,5,3,453,0,1345,409.115,High
37,8,3981.36,Loyal,3,5,5,355,0,1346,1985.68,High
63,2,826.74,Regular,3,2,3,323,0,1347,401.37,High
4,5,2330.92,VIP,5,4,5,545,0,1348,1166.16,High
1,6,2225.91,VIP,5,5,5,555,0,1349,1114.5549999999998,High
8,2,532.8199999999999,Regular,5,2,3,523,0,1350,265.40999999999997,High
363,1,311.95,Churn Likely,1,1,2,112,1,1351,83.675,High
9,3,463.66,Loyal,5,3,2,532,0,1352,230.93,High
64,1,91.85,Regular,3,1,1,311,0,1353,33.425,Low
191,1,324.92,Churn Likely,1,1,2,112,1,1354,124.56000000000002,High
373,1,192.60000000000002,Lost,1,1,1,111,1,1355,22.0,Low
256,1,400.53999999999996,Churn Likely,1,1,2,112,1,1356,149.37,High
334,2,545.48,Churn Likely,1,2,3,123,1,1357,206.54000000000002,High
52,2,860.41,Regular,3,2,3,323,0,1358,420.40500000000003,High
18,1,430.48,Regular,4,1,2,412,0,1359,211.94000000000003,High
365,1,254.03,Churn Likely,1,1,2,112,1,1360,54.315,Medium
9,3,6977.04,Loyal,5,3,5,535,0,1361,3487.62,High
186,1,427.58,Churn Likely,1,1,2,112,1,1362,176.89,High
36,3,483.65000000000003,Loyal,3,3,2,332,0,1363,235.52500000000003,High
177,1,489.31,At Risk,2,1,3,213,0,1364,209.555,High
260,3,514.85,Churn Likely,1,3,3,133,1,1365,206.325,High
44,1,229.64000000000001,Regular,3,1,1,311,0,1366,106.32000000000001,High
101,1,125.92,Regular,2,1,1,211,0,1367,43.059999999999995,Medium
147,2,1063.46,At Risk,2,2,4,224,0,1368,502.93000000000006,High
95,2,572.2,Regular,2,2,3,223,0,1369,267.70000000000005,High
280,1,166.04,Churn Likely,1,1,1,111,1,1370,27.319999999999993,Low
261,1,1542.08,Churn Likely,1,1,4,114,1,1371,719.1399999999999,High
2,4,942.34,Loyal,5,4,4,544,0,1372,471.97,High
213,1,92.72,Churn Likely,1,1,1,111,1,1373,4.059999999999995,Low
70,2,948.88,Regular,3,2,4,324,0,1374,461.04,High
74,5,1759.5,Regular,2,4,4,244,0,1375,866.45,High
59,1,397.12,Regular,3,1,2,312,0,1376,187.06,High
2,7,1474.72,VIP,5,5,4,554,0,1377,739.0600000000001,High
5,3,430.15000000000003,Loyal,5,3,2,532,0,1378,214.97500000000002,High
2,6,1018.71,VIP,5,5,4,554,0,1379,510.75500000000005,High
336,2,293.0,Churn Likely,1,2,2,122,1,1380,79.89999999999999,High
37,6,6814.64,Loyal,3,5,5,355,0,1381,3401.7200000000003,High
261,1,215.05,Churn Likely,1,1,1,111,1,1382,55.625,Medium
31,2,383.03,Regular,4,2,2,422,0,1383,185.915,High
144,1,417.38,At Risk,2,1,2,212,0,1384,180.19,High
282,1,312.38,Churn Likely,1,1,2,112,1,1385,100.09,High
58,4,2610.36,Loyal,3,4,5,345,0,1386,1294.7800000000002,High
172,1,134.1,At Risk,2,1,1,211,0,1387,32.949999999999996,Low
33,2,671.95,Regular,3,2,3,323,0,1388,329.975,High
2,14,5591.42,VIP,5,5,5,555,0,1389,2799.5099999999998,High
143,4,2726.77,At Risk,2,4,5,245,0,1390,1335.9850000000001,High
4,25,3991.58,VIP,5,5,5,555,0,1391,2002.49,High
69,2,1118.99,Regular,3,2,4,324,0,1392,546.2950000000001,High
65,8,1702.26,Regular,3,5,4,354,0,1393,840.53,High
28,2,325.96000000000004,Regular,4,2,2,422,0,1394,157.98000000000002,High
266,4,354.09,Churn Likely,1,4,2,142,1,1395,125.04499999999997,High
21,1,843.64,Regular,4,1,3,413,0,1396,417.92,High
